# DerivedCombiningClass-15.0.0.txt
# Date: 2022-04-26, 23:14:29 GMT
# © 2022 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use, see https://www.unicode.org/terms_of_use.html
#
# Unicode Character Database
#   For documentation, see https://www.unicode.org/reports/tr44/

# ================================================

# Combining Class (listing UnicodeData.txt, field 3: see UAX #44: https://www.unicode.org/reports/tr44/)

#  All code points not explicitly listed for Canonical_Combining_Class
#  have the value Not_Reordered (0).

# @missing: 0000..10FFFF; Not_Reordered

# ================================================

# Canonical_Combining_Class=Not_Reordered

2987          ; 0 # Ps       Z NOTATION LEFT IMAGE BRACKET
2988          ; 0 # Pe       Z NOTATION RIGHT IMAGE BRACKET
2989          ; 0 # Ps       Z NOTATION LEFT BINDING BRACKET
298A          ; 0 # Pe       Z NOTATION RIGHT BINDING BRACKET
298B          ; 0 # Ps       LEFT SQUARE BRACKET WITH UNDERBAR
298C          ; 0 # Pe       RIGHT SQUARE BRACKET WITH UNDERBAR
298D          ; 0 # Ps       LEFT SQUARE BRACKET WITH TICK IN TOP CORNER
298E          ; 0 # Pe       RIGHT SQUARE BRACKET WITH TICK IN BOTTOM CORNER
298F          ; 0 # Ps       LEFT SQUARE BRACKET WITH TICK IN BOTTOM CORNER
2990          ; 0 # Pe       RIGHT SQUARE BRACKET WITH TICK IN TOP CORNER
2991          ; 0 # Ps       LEFT ANGLE BRACKET WITH DOT
2992          ; 0 # Pe       RIGHT ANGLE BRACKET WITH DOT
2993          ; 0 # Ps       LEFT ARC LESS-THAN BRACKET
2994          ; 0 # Pe       RIGHT ARC GREATER-THAN BRACKET
2995          ; 0 # Ps       DOUBLE LEFT ARC GREATER-THAN BRACKET
2996          ; 0 # Pe       DOUBLE RIGHT ARC LESS-THAN BRACKET
2997          ; 0 # Ps       LEFT BLACK TORTOISE SHELL BRACKET
2998          ; 0 # Pe       RIGHT BLACK TORTOISE SHELL BRACKET
2999..29D7    ; 0 # Sm  [63] DOTTED FENCE..BLACK HOURGLASS
29D8          ; 0 # Ps       LEFT WIGGLY FENCE
29D9          ; 0 # Pe       RIGHT WIGGLY FENCE
29DA          ; 0 # Ps       LEFT DOUBLE WIGGLY FENCE
29DB          ; 0 # Pe       RIGHT DOUBLE WIGGLY FENCE
29DC..29FB    ; 0 # Sm  [32] INCOMPLETE INFINITY..TRIPLE PLUS
29FC          ; 0 # Ps       LEFT-POINTING CURVED ANGLE BRACKET
29FD          ; 0 # Pe       RIGHT-POINTING CURVED ANGLE BRACKET
29FE..2AFF    ; 0 # Sm [258] TINY..N-ARY WHITE VERTICAL BAR
2B00..2B2F    ; 0 # So  [48] NORTH EAST WHITE ARROW..WHITE VERTICAL ELLIPSE
2B30..2B44    ; 0 # Sm  [21] LEFT ARROW WITH SMALL CIRCLE..RIGHTWARDS ARROW THROUGH SUPERSET
2B45..2B46    ; 0 # So   [2] LEFTWARDS QUADRUPLE ARROW..RIGHTWARDS QUADRUPLE ARROW
2B47..2B4C    ; 0 # Sm   [6] REVERSE TILDE OPERATOR ABOVE RIGHTWARDS ARROW..RIGHTWARDS ARROW ABOVE REVERSE TILDE OPERATOR
2B4D..2B73    ; 0 # So  [39] DOWNWARDS TRIANGLE-HEADED ZIGZAG ARROW..DOWNWARDS TRIANGLE-HEADED ARROW TO BAR
2B76..2B95    ; 0 # So  [32] NORTH WEST TRIANGLE-HEADED ARROW TO BAR..RIGHTWARDS BLACK ARROW
2B97..2BFF    ; 0 # So [105] SYMBOL FOR TYPE A ELECTRONICS..HELLSCHREIBER PAUSE SYMBOL
2C00..2C7B    ; 0 # L& [124] GLAGOLITIC CAPITAL LETTER AZU..LATIN LETTER SMALL CAPITAL TURNED E
2C7C..2C7D    ; 0 # Lm   [2] LATIN SUBSCRIPT SMALL LETTER J..MODIFIER LETTER CAPITAL V
2C7E..2CE4    ; 0 # L& [103] LATIN CAPITAL LETTER S WITH SWASH TAIL..COPTIC SYMBOL KAI
2CE5..2CEA    ; 0 # So   [6] COPTIC SYMBOL MI RO..COPTIC SYMBOL SHIMA SIMA
2CEB..2CEE    ; 0 # L&   [4] COPTIC CAPITAL LETTER CRYPTOGRAMMIC SHEI..COPTIC SMALL LETTER CRYPTOGRAMMIC GANGIA
2CF2..2CF3    ; 0 # L&   [2] COPTIC CAPITAL LETTER BOHAIRIC KHEI..COPTIC SMALL LETTER BOHAIRIC KHEI
2CF9..2CFC    ; 0 # Po   [4] COPTIC OLD NUBIAN FULL STOP..COPTIC OLD NUBIAN VERSE DIVIDER
2CFD          ; 0 # No       COPTIC FRACTION ONE HALF
2CFE..2CFF    ; 0 # Po   [2] COPTIC FULL STOP..COPTIC MORPHOLOGICAL DIVIDER
2D00..2D25    ; 0 # L&  [38] GEORGIAN SMALL LETTER AN..GEORGIAN SMALL LETTER HOE
2D27          ; 0 # L&       GEORGIAN SMALL LETTER YN
2D2D          ; 0 # L&       GEORGIAN SMALL LETTER AEN
2D30..2D67    ; 0 # Lo  [56] TIFINAGH LETTER YA..TIFINAGH LETTER YO
2D6F          ; 0 # Lm       TIFINAGH MODIFIER LETTER LABIALIZATION MARK
2D70          ; 0 # Po       TIFINAGH SEPARATOR MARK
2D80..2D96    ; 0 # Lo  [23] ETHIOPIC SYLLABLE LOA..ETHIOPIC SYLLABLE GGWE
2DA0..2DA6    ; 0 # Lo   [7] ETHIOPIC SYLLABLE SSA..ETHIOPIC SYLLABLE SSO
2DA8..2DAE    ; 0 # Lo   [7] ETHIOPIC SYLLABLE CCA..ETHIOPIC SYLLABLE CCO
2DB0..2DB6    ; 0 # Lo   [7] ETHIOPIC SYLLABLE ZZA..ETHIOPIC SYLLABLE ZZO
2DB8..2DBE    ; 0 # Lo   [7] ETHIOPIC SYLLABLE CCHA..ETHIOPIC SYLLABLE CCHO
2DC0..2DC6    ; 0 # Lo   [7] ETHIOPIC SYLLABLE QYA..ETHIOPIC SYLLABLE QYO
2DC8..2DCE    ; 0 # Lo   [7] ETHIOPIC SYLLABLE KYA..ETHIOPIC SYLLABLE KYO
2DD0..2DD6    ; 0 # Lo   [7] ETHIOPIC SYLLABLE XYA..ETHIOPIC SYLLABLE XYO
2DD8..2DDE    ; 0 # Lo   [7] ETHIOPIC SYLLABLE GYA..ETHIOPIC SYLLABLE GYO
2E00..2E01    ; 0 # Po   [2] RIGHT ANGLE SUBSTITUTION MARKER..RIGHT ANGLE DOTTED SUBSTITUTION MARKER
2E02          ; 0 # Pi       LEFT SUBSTITUTION BRACKET
2E03          ; 0 # Pf       RIGHT SUBSTITUTION BRACKET
2E04          ; 0 # Pi       LEFT DOTTED SUBSTITUTION BRACKET
2E05          ; 0 # Pf       RIGHT DOTTED SUBSTITUTION BRACKET
2E06..2E08    ; 0 # Po   [3] RAISED INTERPOLATION MARKER..DOTTED TRANSPOSITION MARKER
2E09          ; 0 # Pi       LEFT TRANSPOSITION BRACKET
2E0A          ; 0 # Pf       RIGHT TRANSPOSITION BRACKET
2E0B          ; 0 # Po       RAISED SQUARE
2E0C          ; 0 # Pi       LEFT RAISED OMISSION BRACKET
2E0D          ; 0 # Pf       RIGHT RAISED OMISSION BRACKET
2E0E..2E16    ; 0 # Po   [9] EDITORIAL CORONIS..DOTTED RIGHT-POINTING ANGLE
2E17          ; 0 # Pd       DOUBLE OBLIQUE HYPHEN
2E18..2E19    ; 0 # Po   [2] INVERTED INTERROBANG..PALM BRANCH
2E1A          ; 0 # Pd       HYPHEN WITH DIAERESIS
2E1B          ; 0 # Po       TILDE WITH RING ABOVE
2E1C          ; 0 # Pi       LEFT LOW PARAPHRASE BRACKET
2E1D          ; 0 # Pf       RIGHT LOW PARAPHRASE BRACKET
2E1E..2E1F    ; 0 # Po   [2] TILDE WITH DOT ABOVE..TILDE WITH DOT BELOW
2E20          ; 0 # Pi       LEFT VERTICAL BAR WITH QUILL
2E21          ; 0 # Pf       RIGHT VERTICAL BAR WITH QUILL
2E22          ; 0 # Ps       TOP LEFT HALF BRACKET
2E23          ; 0 # Pe       TOP RIGHT HALF BRACKET
2E24          ; 0 # Ps       BOTTOM LEFT HALF BRACKET
2E25          ; 0 # Pe       BOTTOM RIGHT HALF BRACKET
2E26          ; 0 # Ps       LEFT SIDEWAYS U BRACKET
2E27          ; 0 # Pe       RIGHT SIDEWAYS U BRACKET
2E28          ; 0 # Ps       LEFT DOUBLE PARENTHESIS
2E29          ; 0 # Pe       RIGHT DOUBLE PARENTHESIS
2E2A..2E2E    ; 0 # Po   [5] TWO DOTS OVER ONE DOT PUNCTUATION..REVERSED QUESTION MARK
2E2F          ; 0 # Lm       VERTICAL TILDE
2E30..2E39    ; 0 # Po  [10] RING POINT..TOP HALF SECTION SIGN
2E3A..2E3B    ; 0 # Pd   [2] TWO-EM DASH..THREE-EM DASH
2E3C..2E3F    ; 0 # Po   [4] STENOGRAPHIC FULL STOP..CAPITULUM
2E40          ; 0 # Pd       DOUBLE HYPHEN
2E41          ; 0 # Po       REVERSED COMMA
2E42          ; 0 # Ps       DOUBLE LOW-REVERSED-9 QUOTATION MARK
2E43..2E4F    ; 0 # Po  [13] DASH WITH LEFT UPTURN..CORNISH VERSE DIVIDER
2E50..2E51    ; 0 # So   [2] CROSS PATTY WITH RIGHT CROSSBAR..CROSS PATTY WITH LEFT CROSSBAR
2E52..2E54    ; 0 # Po   [3] TIRONIAN SIGN CAPITAL ET..MEDIEVAL QUESTION MARK
2E55          ; 0 # Ps       LEFT SQUARE BRACKET WITH STROKE
2E56          ; 0 # Pe       RIGHT SQUARE BRACKET WITH STROKE
2E57          ; 0 # Ps       LEFT SQUARE BRACKET WITH DOUBLE STROKE
2E58          ; 0 # Pe       RIGHT SQUARE BRACKET WITH DOUBLE STROKE
2E59          ; 0 # Ps       TOP HALF LEFT PARENTHESIS
2E5A          ; 0 # Pe       TOP HALF RIGHT PARENTHESIS
2E5B          ; 0 # Ps       BOTTOM HALF LEFT PARENTHESIS
2E5C          ; 0 # Pe       BOTTOM HALF RIGHT PARENTHESIS
2E5D          ; 0 # Pd       OBLIQUE HYPHEN
2E80..2E99    ; 0 # So  [26] CJK RADICAL REPEAT..CJK RADICAL RAP
2E9B..2EF3    ; 0 # So  [89] CJK RADICAL CHOKE..CJK RADICAL C-SIMPLIFIED TURTLE
2F00..2FD5    ; 0 # So [214] KANGXI RADICAL ONE..KANGXI RADICAL FLUTE
2FF0..2FFB    ; 0 # So  [12] IDEOGRAPHIC DESCRIPTION CHARACTER LEFT TO RIGHT..IDEOGRAPHIC DESCRIPTION CHARACTER OVERLAID
3000          ; 0 # Zs       IDEOGRAPHIC SPACE
3001..3003    ; 0 # Po   [3] IDEOGRAPHIC COMMA..DITTO MARK
3004          ; 0 # So       JAPANESE INDUSTRIAL STANDARD SYMBOL
3005          ; 0 # Lm       IDEOGRAPHIC ITERATION MARK
3006          ; 0 # Lo       IDEOGRAPHIC CLOSING MARK
3007          ; 0 # Nl       IDEOGRAPHIC NUMBER ZERO
3008          ; 0 # Ps       LEFT ANGLE BRACKET
3009          ; 0 # Pe       RIGHT ANGLE BRACKET
300A          ; 0 # Ps       LEFT DOUBLE ANGLE BRACKET
300B          ; 0 # Pe       RIGHT DOUBLE ANGLE BRACKET
300C          ; 0 # Ps       LEFT CORNER BRACKET
300D          ; 0 # Pe       RIGHT CORNER BRACKET
300E          ; 0 # Ps       LEFT WHITE CORNER BRACKET
300F          ; 0 # Pe       RIGHT WHITE CORNER BRACKET
3010          ; 0 # Ps       LEFT BLACK LENTICULAR BRACKET
3011          ; 0 # Pe       RIGHT BLACK LENTICULAR BRACKET
3012..3013    ; 0 # So   [2] POSTAL MARK..GETA MARK
3014          ; 0 # Ps       LEFT TORTOISE SHELL BRACKET
3015          ; 0 # Pe       RIGHT TORTOISE SHELL BRACKET
3016          ; 0 # Ps       LEFT WHITE LENTICULAR BRACKET
3017          ; 0 # Pe       RIGHT WHITE LENTICULAR BRACKET
3018          ; 0 # Ps       LEFT WHITE TORTOISE SHELL BRACKET
3019          ; 0 # Pe       RIGHT WHITE TORTOISE SHELL BRACKET
301A          ; 0 # Ps       LEFT WHITE SQUARE BRACKET
301B          ; 0 # Pe       RIGHT WHITE SQUARE BRACKET
301C          ; 0 # Pd       WAVE DASH
301D          ; 0 # Ps       REVERSED DOUBLE PRIME QUOTATION MARK
301E..301F    ; 0 # Pe   [2] DOUBLE PRIME QUOTATION MARK..LOW DOUBLE PRIME QUOTATION MARK
3020          ; 0 # So       POSTAL MARK FACE
3021..3029    ; 0 # Nl   [9] HANGZHOU NUMERAL ONE..HANGZHOU NUMERAL NINE
3030          ; 0 # Pd       WAVY DASH
3031..3035    ; 0 # Lm   [5] VERTICAL KANA REPEAT MARK..VERTICAL KANA REPEAT MARK LOWER HALF
3036..3037    ; 0 # So   [2] CIRCLED POSTAL MARK..IDEOGRAPHIC TELEGRAPH LINE FEED SEPARATOR SYMBOL
3038..303A    ; 0 # Nl   [3] HANGZHOU NUMERAL TEN..HANGZHOU NUMERAL THIRTY
303B          ; 0 # Lm       VERTICAL IDEOGRAPHIC ITERATION MARK
303C          ; 0 # Lo       MASU MARK
303D          ; 0 # Po       PART ALTERNATION MARK
303E..303F    ; 0 # So   [2] IDEOGRAPHIC VARIATION INDICATOR..IDEOGRAPHIC HALF FILL SPACE
3041..3096    ; 0 # Lo  [86] HIRAGANA LETTER SMALL A..HIRAGANA LETTER SMALL KE
309B..309C    ; 0 # Sk   [2] KATAKANA-HIRAGANA VOICED SOUND MARK..KATAKANA-HIRAGANA SEMI-VOICED SOUND MARK
309D..309E    ; 0 # Lm   [2] HIRAGANA ITERATION MARK..HIRAGANA VOICED ITERATION MARK
309F          ; 0 # Lo       HIRAGANA DIGRAPH YORI
30A0          ; 0 # Pd       KATAKANA-HIRAGANA DOUBLE HYPHEN
30A1..30FA    ; 0 # Lo  [90] KATAKANA LETTER SMALL A..KATAKANA LETTER VO
30FB          ; 0 # Po       KATAKANA MIDDLE DOT
30FC..30FE    ; 0 # Lm   [3] KATAKANA-HIRAGANA PROLONGED SOUND MARK..KATAKANA VOICED ITERATION MARK
30FF          ; 0 # Lo       KATAKANA DIGRAPH KOTO
3105..312F    ; 0 # Lo  [43] BOPOMOFO LETTER B..BOPOMOFO LETTER NN
3131..318E    ; 0 # Lo  [94] HANGUL LETTER KIYEOK..HANGUL LETTER ARAEAE
3190..3191    ; 0 # So   [2] IDEOGRAPHIC ANNOTATION LINKING MARK..IDEOGRAPHIC ANNOTATION REVERSE MARK
3192..3195    ; 0 # No   [4] IDEOGRAPHIC ANNOTATION ONE MARK..IDEOGRAPHIC ANNOTATION FOUR MARK
3196..319F    ; 0 # So  [10] IDEOGRAPHIC ANNOTATION TOP MARK..IDEOGRAPHIC ANNOTATION MAN MARK
31A0..31BF    ; 0 # Lo  [32] BOPOMOFO LETTER BU..BOPOMOFO LETTER AH
31C0..31E3    ; 0 # So  [36] CJK STROKE T..CJK STROKE Q
31F0..31FF    ; 0 # Lo  [16] KATAKANA LETTER SMALL KU..KATAKANA LETTER SMALL RO
3200..321E    ; 0 # So  [31] PARENTHESIZED HANGUL KIYEOK..PARENTHESIZED KOREAN CHARACTER O HU
3220..3229    ; 0 # No  [10] PARENTHESIZED IDEOGRAPH ONE..PARENTHESIZED IDEOGRAPH TEN
322A..3247    ; 0 # So  [30] PARENTHESIZED IDEOGRAPH MOON..CIRCLED IDEOGRAPH KOTO
3248..324F    ; 0 # No   [8] CIRCLED NUMBER TEN ON BLACK SQUARE..CIRCLED NUMBER EIGHTY ON BLACK SQUARE
3250          ; 0 # So       PARTNERSHIP SIGN
3251..325F    ; 0 # No  [15] CIRCLED NUMBER TWENTY ONE..CIRCLED NUMBER THIRTY FIVE
3260..327F    ; 0 # So  [32] CIRCLED HANGUL KIYEOK..KOREAN STANDARD SYMBOL
3280..3289    ; 0 # No  [10] CIRCLED IDEOGRAPH ONE..CIRCLED IDEOGRAPH TEN
328A..32B0    ; 0 # So  [39] CIRCLED IDEOGRAPH MOON..CIRCLED IDEOGRAPH NIGHT
32B1..32BF    ; 0 # No  [15] CIRCLED NUMBER THIRTY SIX..CIRCLED NUMBER FIFTY
32C0..33FF    ; 0 # So [320] IDEOGRAPHIC TELEGRAPH SYMBOL FOR JANUARY..SQUARE GAL
3400..4DBF    ; 0 # Lo [6592] CJK UNIFIED IDEOGRAPH-3400..CJK UNIFIED IDEOGRAPH-4DBF
4DC0..4DFF    ; 0 # So  [64] HEXAGRAM FOR THE CREATIVE HEAVEN..HEXAGRAM FOR BEFORE COMPLETION
4E00..A014    ; 0 # Lo [21013] CJK UNIFIED IDEOGRAPH-4E00..YI SYLLABLE E
A015          ; 0 # Lm       YI SYLLABLE WU
A016..A48C    ; 0 # Lo [1143] YI SYLLABLE BIT..YI SYLLABLE YYR
A490..A4C6    ; 0 # So  [55] YI RADICAL QOT..YI RADICAL KE
A4D0..A4F7    ; 0 # Lo  [40] LISU LETTER BA..LISU LETTER OE
A4F8..A4FD    ; 0 # Lm   [6] LISU LETTER TONE MYA TI..LISU LETTER TONE MYA JEU
A4FE..A4FF    ; 0 # Po   [2] LISU PUNCTUATION COMMA..LISU PUNCTUATION FULL STOP
A500..A60B    ; 0 # Lo [268] VAI SYLLABLE EE..VAI SYLLABLE NG
A60C          ; 0 # Lm       VAI SYLLABLE LENGTHENER
A60D..A60F    ; 0 # Po   [3] VAI COMMA..VAI QUESTION MARK
A610..A61F    ; 0 # Lo  [16] VAI SYLLABLE NDOLE FA..VAI SYMBOL JONG
A620..A629    ; 0 # Nd  [10] VAI DIGIT ZERO..VAI DIGIT NINE
A62A..A62B    ; 0 # Lo   [2] VAI SYLLABLE NDOLE MA..VAI SYLLABLE NDOLE DO
A640..A66D    ; 0 # L&  [46] CYRILLIC CAPITAL LETTER ZEMLYA..CYRILLIC SMALL LETTER DOUBLE MONOCULAR O
A66E          ; 0 # Lo       CYRILLIC LETTER MULTIOCULAR O
A670..A672    ; 0 # Me   [3] COMBINING CYRILLIC TEN MILLIONS SIGN..COMBINING CYRILLIC THOUSAND MILLIONS SIGN
A673          ; 0 # Po       SLAVONIC ASTERISK
A67E          ; 0 # Po       CYRILLIC KAVYKA
A67F          ; 0 # Lm       CYRILLIC PAYEROK
A680..A69B    ; 0 # L&  [28] CYRILLIC CAPITAL LETTER DWE..CYRILLIC SMALL LETTER CROSSED O
A69C..A69D    ; 0 # Lm   [2] MODIFIER LETTER CYRILLIC HARD SIGN..MODIFIER LETTER CYRILLIC SOFT SIGN
A6A0..A6E5    ; 0 # Lo  [70] BAMUM LETTER A..BAMUM LETTER KI
A6E6..A6EF    ; 0 # Nl  [10] BAMUM LETTER MO..BAMUM LETTER KOGHOM
A6F2..A6F7    ; 0 # Po   [6] BAMUM NJAEMLI..BAMUM QUESTION MARK
A700..A716    ; 0 # Sk  [23] MODIFIER LETTER CHINESE TONE YIN PING..MODIFIER LETTER EXTRA-LOW LEFT-STEM TONE BAR
A717..A71F    ; 0 # Lm   [9] MODIFIER LETTER DOT VERTICAL BAR..MODIFIER LETTER LOW INVERTED EXCLAMATION MARK
A720..A721    ; 0 # Sk   [2] MODIFIER LETTER STRESS AND HIGH TONE..MODIFIER LETTER STRESS AND LOW TONE
A722..A76F    ; 0 # L&  [78] LATIN CAPITAL LETTER EGYPTOLOGICAL ALEF..LATIN SMALL LETTER CON
A770          ; 0 # Lm       MODIFIER LETTER US
A771..A787    ; 0 # L&  [23] LATIN SMALL LETTER DUM..LATIN SMALL LETTER INSULAR T
A788          ; 0 # Lm       MODIFIER LETTER LOW CIRCUMFLEX ACCENT
A789..A78A    ; 0 # Sk   [2] MODIFIER LETTER COLON..MODIFIER LETTER SHORT EQUALS SIGN
A78B..A78E    ; 0 # L&   [4] LATIN CAPITAL LETTER SALTILLO..LATIN SMALL LETTER L WITH RETROFLEX HOOK AND BELT
A78F          ; 0 # Lo       LATIN LETTER SINOLOGICAL DOT
A790..A7CA    ; 0 # L&  [59] LATIN CAPITAL LETTER N WITH DESCENDER..LATIN SMALL LETTER S WITH SHORT STROKE OVERLAY
A7D0..A7D1    ; 0 # L&   [2] LATIN CAPITAL LETTER CLOSED INSULAR G..LATIN SMALL LETTER CLOSED INSULAR G
A7D3          ; 0 # L&       LATIN SMALL LETTER DOUBLE THORN
A7D5..A7D9    ; 0 # L&   [5] LATIN SMALL LETTER DOUBLE WYNN..LATIN SMALL LETTER SIGMOID S
A7F2..A7F4    ; 0 # Lm   [3] MODIFIER LETTER CAPITAL C..MODIFIER LETTER CAPITAL Q
A7F5..A7F6    ; 0 # L&   [2] LATIN CAPITAL LETTER REVERSED HALF H..LATIN SMALL LETTER REVERSED HALF H
A7F7          ; 0 # Lo       LATIN EPIGRAPHIC LETTER SIDEWAYS I
A7F8..A7F9    ; 0 # Lm   [2] MODIFIER LETTER CAPITAL H WITH STROKE..MODIFIER LETTER SMALL LIGATURE OE
A7FA          ; 0 # L&       LATIN LETTER SMALL CAPITAL TURNED M
A7FB..A801    ; 0 # Lo   [7] LATIN EPIGRAPHIC LETTER REVERSED F..SYLOTI NAGRI LETTER I
A802          ; 0 # Mn       SYLOTI NAGRI SIGN DVISVARA
A803..A805    ; 0 # Lo   [3] SYLOTI NAGRI LETTER U..SYLOTI NAGRI LETTER O
A807..A80A    ; 0 # Lo   [4] SYLOTI NAGRI LETTER KO..SYLOTI NAGRI LETTER GHO
A80B          ; 0 # Mn       SYLOTI NAGRI SIGN ANUSVARA
A80C..A822    ; 0 # Lo  [23] SYLOTI NAGRI LETTER CO..SYLOTI NAGRI LETTER HO
A823..A824    ; 0 # Mc   [2] SYLOTI NAGRI VOWEL SIGN A..SYLOTI NAGRI VOWEL SIGN I
A825..A826    ; 0 # Mn   [2] SYLOTI NAGRI VOWEL SIGN U..SYLOTI NAGRI VOWEL SIGN E
A827          ; 0 # Mc       SYLOTI NAGRI VOWEL SIGN OO
A828..A82B    ; 0 # So   [4] SYLOTI NAGRI POETRY MARK-1..SYLOTI NAGRI POETRY MARK-4
A830..A835    ; 0 # No   [6] NORTH INDIC FRACTION ONE QUARTER..NORTH INDIC FRACTION THREE SIXTEENTHS
A836..A837    ; 0 # So   [2] NORTH INDIC QUARTER MARK..NORTH INDIC PLACEHOLDER MARK
A838          ; 0 # Sc       NORTH INDIC RUPEE MARK
A839          ; 0 # So       NORTH INDIC QUANTITY MARK
A840..A873    ; 0 # Lo  [52] PHAGS-PA LETTER KA..PHAGS-PA LETTER CANDRABINDU
A874..A877    ; 0 # Po   [4] PHAGS-PA SINGLE HEAD MARK..PHAGS-PA MARK DOUBLE SHAD
A880..A881    ; 0 # Mc   [2] SAURASHTRA SIGN ANUSVARA..SAURASHTRA SIGN VISARGA
A882..A8B3    ; 0 # Lo  [50] SAURASHTRA LETTER A..SAURASHTRA LETTER LLA
A8B4..A8C3    ; 0 # Mc  [16] SAURASHTRA CONSONANT SIGN HAARU..SAURASHTRA VOWEL SIGN AU
A8C5          ; 0 # Mn       SAURASHTRA SIGN CANDRABINDU
A8CE..A8CF    ; 0 # Po   [2] SAURASHTRA DANDA..SAURASHTRA DOUBLE DANDA
A8D0..A8D9    ; 0 # Nd  [10] SAURASHTRA DIGIT ZERO..SAURASHTRA DIGIT NINE
A8F2..A8F7    ; 0 # Lo   [6] DEVANAGARI SIGN SPACING CANDRABINDU..DEVANAGARI SIGN CANDRABINDU AVAGRAHA
A8F8..A8FA    ; 0 # Po   [3] DEVANAGARI SIGN PUSHPIKA..DEVANAGARI CARET
A8FB          ; 0 # Lo       DEVANAGARI HEADSTROKE
A8FC          ; 0 # Po       DEVANAGARI SIGN SIDDHAM
A8FD..A8FE    ; 0 # Lo   [2] DEVANAGARI JAIN OM..DEVANAGARI LETTER AY
A8FF          ; 0 # Mn       DEVANAGARI VOWEL SIGN AY
A900..A909    ; 0 # Nd  [10] KAYAH LI DIGIT ZERO..KAYAH LI DIGIT NINE
A90A..A925    ; 0 # Lo  [28] KAYAH LI LETTER KA..KAYAH LI LETTER OO
A926..A92A    ; 0 # Mn   [5] KAYAH LI VOWEL UE..KAYAH LI VOWEL O
A92E..A92F    ; 0 # Po   [2] KAYAH LI SIGN CWI..KAYAH LI SIGN SHYA
A930..A946    ; 0 # Lo  [23] REJANG LETTER KA..REJANG LETTER A
A947..A951    ; 0 # Mn  [11] REJANG VOWEL SIGN I..REJANG CONSONANT SIGN R
A952          ; 0 # Mc       REJANG CONSONANT SIGN H
A95F          ; 0 # Po       REJANG SECTION MARK
A960..A97C    ; 0 # Lo  [29] HANGUL CHOSEONG TIKEUT-MIEUM..HANGUL CHOSEONG SSANGYEORINHIEUH
A980..A982    ; 0 # Mn   [3] JAVANESE SIGN PANYANGGA..JAVANESE SIGN LAYAR
A983          ; 0 # Mc       JAVANESE SIGN WIGNYAN
A984..A9B2    ; 0 # Lo  [47] JAVANESE LETTER A..JAVANESE LETTER HA
A9B4..A9B5    ; 0 # Mc   [2] JAVANESE VOWEL SIGN TARUNG..JAVANESE VOWEL SIGN TOLONG
A9B6..A9B9    ; 0 # Mn   [4] JAVANESE VOWEL SIGN WULU..JAVANESE VOWEL SIGN SUKU MENDUT
A9BA..A9BB    ; 0 # Mc   [2] JAVANESE VOWEL SIGN TALING..JAVANESE VOWEL SIGN DIRGA MURE
A9BC..A9BD    ; 0 # Mn   [2] JAVANESE VOWEL SIGN PEPET..JAVANESE CONSONANT SIGN KERET
A9BE..A9BF    ; 0 # Mc   [2] JAVANESE CONSONANT SIGN PENGKAL..JAVANESE CONSONANT SIGN CAKRA
A9C1..A9CD    ; 0 # Po  [13] JAVANESE LEFT RERENGGAN..JAVANESE TURNED PADA PISELEH
A9CF          ; 0 # Lm       JAVANESE PANGRANGKEP
A9D0..A9D9    ; 0 # Nd  [10] JAVANESE DIGIT ZERO..JAVANESE DIGIT NINE
A9DE..A9DF    ; 0 # Po   [2] JAVANESE PADA TIRTA TUMETES..JAVANESE PADA ISEN-ISEN
A9E0..A9E4    ; 0 # Lo   [5] MYANMAR LETTER SHAN GHA..MYANMAR LETTER SHAN BHA
A9E5          ; 0 # Mn       MYANMAR SIGN SHAN SAW
A9E6          ; 0 # Lm       MYANMAR MODIFIER LETTER SHAN REDUPLICATION
A9E7..A9EF    ; 0 # Lo   [9] MYANMAR LETTER TAI LAING NYA..MYANMAR LETTER TAI LAING NNA
A9F0..A9F9    ; 0 # Nd  [10] MYANMAR TAI LAING DIGIT ZERO..MYANMAR TAI LAING DIGIT NINE
A9FA..A9FE    ; 0 # Lo   [5] MYANMAR LETTER TAI LAING LLA..MYANMAR LETTER TAI LAING BHA
AA00..AA28    ; 0 # Lo  [41] CHAM LETTER A..CHAM LETTER HA
AA29..AA2E    ; 0 # Mn   [6] CHAM VOWEL SIGN AA..CHAM VOWEL SIGN OE
AA2F..AA30    ; 0 # Mc   [2] CHAM VOWEL SIGN O..CHAM VOWEL SIGN AI
AA31..AA32    ; 0 # Mn   [2] CHAM VOWEL SIGN AU..CHAM VOWEL SIGN UE
AA33..AA34    ; 0 # Mc   [2] CHAM CONSONANT SIGN YA..CHAM CONSONANT SIGN RA
AA35..AA36    ; 0 # Mn   [2] CHAM CONSONANT SIGN LA..CHAM CONSONANT SIGN WA
AA40..AA42    ; 0 # Lo   [3] CHAM LETTER FINAL K..CHAM LETTER FINAL NG
AA43          ; 0 # Mn       CHAM CONSONANT SIGN FINAL NG
AA44..AA4B    ; 0 # Lo   [8] CHAM LETTER FINAL CH..CHAM LETTER FINAL SS
AA4C          ; 0 # Mn       CHAM CONSONANT SIGN FINAL M
AA4D          ; 0 # Mc       CHAM CONSONANT SIGN FINAL H
AA50..AA59    ; 0 # Nd  [10] CHAM DIGIT ZERO..CHAM DIGIT NINE
